icao,name,city,state,country,lat,lon
00AK,Lowell Field,Anchor Point,Alaska,US,59.94919968,-151.695999146
00AL,Epps Airpark,Harvest,Alabama,US,34.8647994995,-86.7703018188
00AZ,Cordes Airport,Cordes,Arizona,US,34.3055992126,-112.1650009155
00CA,Goldstone /Gts/ Airport,Barstow,California,US,35.3504981995,-116.888000488
00CL,Williams Ag Airport,Biggs,California,US,39.42718888,-121.76342777
00CO,Cass Field,Briggsdale,Colorado,US,40.6222000122,-104.34400177
00FA,Grass Patch Airport,Bushnell,Florida,US,28.6455001831,-82.21900177
00FL,River Oak Airport,Okeechobee,Florida,US,27.2308998108,-80.9692001343
00GA,Lt World Airport,Lithonia,Georgia,US,33.7675018311,-84.0682983398
00ID,Delta Shores Airport,Clark Fork,Idaho,US,48.1453018188,-116.2139968872
00IL,Hammer Airport,Polo,Illinois,US,41.9784011841,-89.5604019165
00IS,Hayenga's Cant Find Farms Airport,Kings,Illinois,US,40.0256004333,-89.1229019165
00KS,Hayden Farm Airport,Gardner,Kansas,US,38.7277984619,-94.9304962158
00KY,Robbins Roost Airport,Stanford,Kentucky,US,37.4094009399,-84.6196975708
00LS,Lejeune Airport,Esterwood,Louisiana,US,30.1362991333,-92.429397583
00MD,Slater Field,Federalsburg,Maryland,US,38.7570991516,-75.7537994385
00MN,Battle Lake Municipal Airport,Battle Lake,Minnesota,US,46.2999992371,-95.700302124
00MO,Cooper Flying Service Airport,Alba,Missouri,US,37.2028007507,-94.412399292
00MT,Sands Ranch Airport,Havre,Montana,US,48.5374984741,-109.7050018311
00NC,North Raleigh Airport,Louisburg,North Carolina,US,36.0852012634,-78.3713989258
00NY,Weiss Airfield,West Bloomfield,New York,US,42.900100708,-77.4997024536
00OH,Exit 3 Airport,Wauseon,Ohio,US,41.5909004211,-84.1421966553
00PN,Ferrell Field,Mercer,Pennsylvania,US,41.2995,-80.211111
00PS,Thomas Field,Loysville,Pennsylvania,US,40.3777999878,-77.3653030396
00SC,Flying O Airport,Sumter,South Carolina,US,34.0093994141,-80.2671966553
00TN,Ragsdale Road Airport,Manchester,Tennessee,US,35.5158996582,-85.9535980225
00TS,Alpine Range Airport,Everman,Texas,US,32.6076011658,-97.2419967651
00TX,Delva Field,Van,Texas,US,32.544452,-95.67313
00VA,Vaughan Airport,Alton,Virginia,US,36.57600021,-78.9991684
00VI,Groundhog Mountain Airport,Hillsville,Virginia,US,36.6632995605,-80.49949646
00WA,Howell Airport,Longbranch,Washington,US,47.1783981323,-122.7720031738
00WI,Northern Lite Airport,Waupaca,Wisconsin,US,44.3042984009,-89.0501022339
00WN,Hawks Run Airport,Asotin,Washington,US,46.25,-117.2490005493
00WV,Lazy J. Aerodrome,Beverly,West Virginia,US,38.8288993835,-79.8660964966
00XS,L P Askew Farms Airport,O'Donnell,Texas,US,33.0334014893,-101.9339981079
01AL,Ware Island Airport,Clanton,Alabama,US,32.9459991455,-86.5139007568
01CL,Swansboro Country Airport,Placerville,California,US,38.7999000549,-120.7340011597
01FA,Rybolt Ranch Airport,Orlando,Florida,US,28.5893993378,-81.144203186
01FL,Cedar Knoll Flying Ranch Airport,Geneva,Florida,US,28.7819004059,-81.1592025757
01GE,The Farm Airport,Wrightsville,Georgia,US,32.6744003296,-82.7711029053
01IA,Stender Airport,Maysville,Iowa,US,41.6610984802,-90.7413024902
01ID,Lava Hot Springs Airport,Lava Hot Springs,Idaho,US,42.6082000732,-112.0319976807
01II,Myers Field,Lizton,Indiana,US,39.8849983215,-86.5066986084
01IS,William E. Koenig Airport,Dow,Illinois,US,39.0162010193,-90.3181991577
01KS,Flying N Ranch Airport,Lost Springs,Kansas,US,38.540599823,-97.0033035278
01LA,Barham Airport,Oak Ridge,Louisiana,US,32.638999939,-91.7736968994
01LL,Schumaier Restricted Landing Area,Pinckneyville,Illinois,US,38.1258010864,-89.4638977051
01LS,Country Breeze Airport,Slaughter,Louisiana,US,30.7059993744,-91.0774002075
01MT,Crystal Lakes Resort Airport,Fortine,Montana,US,48.789100647,-114.8799972534
01NC,Topsail Airpark,Holly Ridge,North Carolina,US,34.4752998352,-77.5813980103
01NE,Detour Airport,Wellfleet,Nebraska,US,40.8436012268,-100.6529998779
01NH,Moore Airfield,Enfield,New Hampshire,US,43.6445007324,-72.0869979858
01NM,Champion Ranch Airport,Artesia,New Mexico,US,33.008611,-104.540278
01NV,Lantana Ranch Airport,Yerington,Nevada,US,38.7639007568,-119.0270004272
01OK,Lawrence Airport,Eakly,Oklahoma,US,35.2944984436,-98.6364974976
01OR,Red & White Flying Service Airport,Silver Lake,Oregon,US,43.1193008423,-121.0449981689
01PN,Bierly(Personal Use) Airport,Bellefonte,Pennsylvania,US,40.9305992126,-77.738899231
01PS,Nort's Resort Airport,Meshoppen,Pennsylvania,US,41.5959014893,-76.0296020508
01SC,York Airport,York,South Carolina,US,35.0321006775,-81.2527999878
01TE,Smith Field,Forney,Texas,US,32.7375984192,-96.4280014038
01TN,Colonial Air Park,Collierville,Tennessee,US,34.9958992004,-89.7305984497
01TX,Mims Farm Ultralightport,Waxahachie,Texas,US,32.3875999451,-96.8775024414
01UT,La Sal Junction Airport,La Sal,Utah,US,38.3083000183,-109.3960037231
01VA,Pickles Airport,Berryville,Virginia,US,39.125,-77.9250030518
01WI,Prehn Cranberry Company Airport,Tomah,Wisconsin,US,44.0099983215,-90.3891983032
01WY,Keyhole Airport,Moorcroft,Wyoming,US,44.3471984863,-104.8109970093
02AK,Rustic Wilderness Airport,Willow,Alaska,US,61.8768997192,-150.0980072021
02AL,Bass Field,Foley,Alabama,US,30.3715000153,-87.7643966675
02AR,Three Rivers Airport,Little Rock,Arkansas,US,34.8224449158,-92.4444198608
02AZ,Winchester Farm Airstrip,Willcox,Arizona,US,32.3763999939,-109.93699646
02CD,Shannon Field,Clarksdale,Mississippi,US,34.1296005249,-90.5240020752
02CL,Conover Air Lodge Airport,Frazier Park,California,US,34.761100769,-119.0589981079
02CO,Mc Cullough Airport,Monte Vista,Colorado,US,37.6432991028,-106.04699707
02FA,Osborn Airfield,Groveland,Florida,US,28.5266990662,-81.8748016357
02FL,Cuchens Airport,Defuniak Springs,Florida,US,30.642778,-86.123889
02GA,Doug Bolton Field,Commerce,Georgia,US,34.2025985718,-83.4290008545
02GE,Etowah Fields Airport,Euharlee,Georgia,US,34.1753005981,-84.9244003296
02ID,Morgan Ranch Airport,Cascade,Idaho,US,44.5555000305,-115.3050003052
02II,King Ultralightport,Westfield,Indiana,US,40.0623016357,-86.2105026245
02IN,Diamond P. Field,Muncie,Indiana,US,40.2089004517,-85.540802002
02KS,Jmj Landing Airport,St Marys,Kansas,US,39.2221984863,-96.0552978516
02ME,Nadeaus' Airfield,Acton,Maine,US,43.5373001099,-70.929397583
02MI,Fairplains Airpark,Greenville,Michigan,US,43.1571006775,-85.1484985352
02MN,Greenbush Municipal Airport,Greenbush,Minnesota,US,48.6833000183,-96.1920013428
02MO,Troy Airpark,Troy,Missouri,US,39.0499992371,-91.0335006714
02MS,Watts Field,Rochdale,Mississippi,US,34.1001014709,-90.8468017578
02MT,Barrett Field,Cascade,Montana,US,47.2374000549,-111.7419967651
02MU,Timber Line Airpark,Cassville,Missouri,US,36.6542015076,-93.7974014282
02NE,Benes Service Airport,Valparaiso,Nebraska,US,41.0745010376,-96.9045028687
02NV,Paiute Meadows Airport,Winnemucca,Nevada,US,41.3032989502,-118.5979995728
02OH,Zimmerman Airport,Fremont,Ohio,US,41.3763999939,-83.0832977295
02OI,Murtha Airport,Conneaut,Ohio,US,41.8019981384,-80.5653991699
02OR,Rowena Dell Airport,The Dalles,Oregon,US,45.6814994812,-121.3160018921
02PR,Cuylers Airport,Vega Baja,Vega Baja,PR,18.4533004761,-66.366897583
02PS,Hughes Ultralightport,Tioga,Pennsylvania,US,41.9006004333,-77.2303009033
02SC,Harpers Airport,Estill,South Carolina,US,32.7584991455,-81.2248001099
02TN,Ellis Field,Murfreesboro,Tennessee,US,35.7806015015,-86.584197998
02TS,El Tesoro Ranch Airport,Charlotte,Texas,US,28.66264166,-98.72309444
02TX,The Palms At Kitty Hawk Airport,New Home,Texas,US,33.3704032898,-101.92288208
02UT,Lucin Airport,Lucin,Utah,US,41.3662986755,-113.8430023193
02VA,The Greenhouse Airport,Culpeper,Virginia,US,38.4356994629,-77.8572006226
02WA,Cawleys South Prairie Airport,South Prairie,Washington,US,47.1523017883,-122.09400177
02WI,Beer Airport,Hudson,Wisconsin,US,45.0318984985,-92.6557998657
02WN,Fowler Field,Tonasket,Washington,US,48.7458000183,-119.3190002441
02XS,Seidel Ranch Airport,Elroy,Texas,US,30.1476993561,-97.6628036499
03AZ,Thompson International Aviation Airport,Hereford,Arizona,US,31.4333992004,-110.0839996338
03CO,Kugel-Strong Airport,Platteville,Colorado,US,40.2125015259,-104.744003296
03FA,Lake Persimmon Airstrip,Lake Placid,Florida,US,27.353099823,-81.4080963135
03FD,Tharpe Airport,Bonifay,Florida,US,30.8288002014,-85.7310028076
03IA,East Field,Montezuma,Iowa,US,41.5819015503,-92.4613037109
03ID,Flying Y Ranch Airport,Council,Idaho,US,44.7943000793,-116.5329971313
03II,Davis Field Ultralightport,Mount Vernon,Indiana,US,37.9620018005,-87.7789001465
03IL,Wix Airport,Monee,Illinois,US,41.4023017883,-87.8167037964
03IN,Heinzman Airport,Arcadia,Indiana,US,40.1800003052,-86.0124969482
03KY,Flying H Farms Airport,Henderson,Kentucky,US,37.7916984558,-87.5413970947
03MA,Hadley Airport,Hadley,Massachusetts,US,42.3931007385,-72.5520019531
03ME,Maple Ridge Airport,Harrison,Maine,US,44.0842018127,-70.6272964478
03MN,Nauerth Land Ranch Airport,Lakefield,Minnesota,US,43.6251983643,-95.2247009277
03MO,Cahoochie Airport,Urbana,Missouri,US,37.8844985962,-93.1315994263
03MT,Cascade Airport,Cascade,Montana,US,47.2708015442,-111.7220001221
03MU,Mc Donnell Airport,Archie,Missouri,US,38.4925003052,-94.4124984741
03NC,Pilots Ridge Airport,Carolina Beach,North Carolina,US,34.1043014526,-77.9041976929
03ND,Olafson Brothers Airport,Edinburg,North Dakota,US,48.6263999939,-97.8290023804
03NE,Hyde Ranch Airport,Comstock,Nebraska,US,41.5463981628,-99.331199646
03NV,Llama Ranch Airport,Ruby Valley,Nevada,US,40.584400177,-115.297996521
03NY,Talmage Field,Riverhead,New York,US,40.9584007263,-72.716796875
03OH,Gibbs Field,Fremont,Ohio,US,41.4183998108,-83.0174026489
03OK,Sahoma Lake Airport,Sapulpa,Oklahoma,US,36.0411987305,-96.1613998413
03OR,Powwatka Ridge Airport,Troy,Oregon,US,45.8554000854,-117.4840011597
03PS,Ziggy's Field,Bellefonte,Pennsylvania,US,40.8499984741,-77.9056015015
03TA,Gay Hill Farm Airport,Gay Hill,Texas,US,30.2626991272,-96.5001983643
03TE,Barronena Ranch Airport,Hebbronville,Texas,US,27.4911003113,-98.6695022583
03UT,A Z Minerals Corporation Airport,Mexican Hat,Utah,US,37.1208000183,-109.986000061
03WA,Spangle Field,Spangle,Washington,US,47.4081993103,-117.3720016479
03WI,Zink Airport,Berlin,Wisconsin,US,44.0275001526,-88.880897522
03WN,Aerostone Ranch Airport,Goldendale,Washington,US,45.875,-120.6699981689
03XS,Creekside Airport,Mertzon,Texas,US,31.3180999756,-100.7539978027
04AZ,Chinle Airport,Chinle,Arizona,US,36.1542015076,-109.5510025024
04CA,Gray Butte Field,Palmdale,California,US,34.5638999939,-117.6750030518
04CL,Hunt's Sky Ranch Airport,Julian,California,US,33.0816993713,-116.4410018921
04FA,Richards Field,Homestead,Florida,US,25.5587005615,-80.5150985718
04FL,Cross Creek Farms Airport,Ormond,Florida,US,29.2394008636,-81.2220001221
04IA,Middlekoop Airport,Packwood,Iowa,US,41.0882987976,-92.0546035767
04ID,Lanham Field,Emmett,Idaho,US,43.8777008057,-116.5370025635
04II,Turkey Run Airport,New Haven,Indiana,US,41.1305999756,-84.994102478
04IL,Schertz Aerial Service - Hudson Airport,Hudson,Illinois,US,40.6375007629,-89.0070037842
04IS,Van Gorder Airport,Mansfield,Illinois,US,40.1786003113,-88.5690002441
04KY,Natchez Trace Farm Airport,Hiseville,Kentucky,US,37.1351013184,-85.7893981934
04LL,Brunner Airport,West Dundee,Illinois,US,42.136100769,-88.2875976563
04ME,Beech Hill Airport,Mercer,Maine,US,44.6666984558,-69.8938980103
04MI,Rapids Airway Airport,Eaton Rapids,Michigan,US,42.5345001221,-84.6283035278
04MN,Helblad Airport,Kelliher,Minnesota,US,47.9858016968,-94.6868972778
04MO,Airpark Private Airport,Vandalia,Missouri,US,39.3012008667,-91.451499939
04MS,Nick's Flying Service Inc Airport,Rolling Fork,Mississippi,US,32.9396018982,-90.8373031616
04MT,Pluhar Airport,Cohagen,Montana,US,47.1374977778,-106.488095
04NE,Mc Connell Field Airport,Sarben,Nebraska,US,41.1599998474,-101.299003601
04NJ,Emmanuel Airport,Elmer,New Jersey,US,39.5968017578,-75.2334976196
04NV,Kingston Ranch Airport,Sandy Valley,California,US,35.7555007935,-115.665000916
04NY,Klaverack Airport,Hudson,New York,US,42.262298584,-73.6961975098
04OH,Bossow Airport,Garrettsville,Ohio,US,41.2476997375,-81.1007003784
04OR,Collins Landing Strip,Mitchell,Oregon,US,44.7499008179,-120.200996399
04TN,Hensley Airpark,Chuckey,Tennessee,US,36.1833000183,-82.6789016724
04TT,4D Ranch Airport,Utopia,Texas,US,29.71307222,-99.54564166
04TX,Pocock Airport,China Spring,Texas,US,31.7322006226,-97.3688964844
04UT,Navajo Mountain Airport,Navajo Mountain Trdng Post,Utah,US,37.0083007812,-110.794998169
04VG,Manquin Flight Park Ultralightport,Manquin,Virginia,US,37.7144012451,-77.2117996216
04VT,Lightning Bolt Field Airport,Cabot,Vermont,US,44.4011001587,-72.2636032104
04WA,Ox Meadows Airport,Spokane,Washington,US,47.5817985535,-117.43699646
04WI,Dutch Gap Airstrip,Bristol,Wisconsin,US,42.523399353,-88.0167007446
04WN,Stillwater Creek Airport,Royal City,Washington,US,46.963889,-119.641667
05AK,Wasilla Creek Airpark,Palmer,Alaska,US,61.66830063,-149.1880035
05AR,Ozark Skies Airpark,Kingston,Arkansas,US,36.000633,-93.57025
05CL,Pope Valley Airport,Pope Valley,California,US,38.6106987,-122.39099884
05CO,Rancho De Aereo Airport,Mead,Colorado,US,40.2149839,-104.9844228
05FA,Melanie's Airport,Florala,Florida,US,30.9188995361,-86.2182998657
05FL,Charlton Strip,La Belle,Florida,US,26.5230998993,-81.4083023071
05GA,Raju Airport,Richland,Georgia,US,32.0713996887,-84.7144012451
05IA,Spotts Field,Nora Springs,Iowa,US,43.1375007629,-93.0682983398
05ID,Running Creek Ranch Airport,Grangeville,Idaho,US,45.914100647,-114.8359985352
05II,Reichhart Airport,New Haven,Indiana,US,41.0287017822,-84.9972000122
05IL,Classic Landings Airport,Bonfield,Illinois,US,41.1567001343,-88.0167007446
05IN,Cooper Airport,Belleville,Indiana,US,39.641998291,-86.5042037964
05IS,Hardy Airport,Mount Auburn,Illinois,US,39.7258987427,-89.263999939
05KS,Darbro Field,Elk City,Kansas,US,37.2662010193,-95.959197998
05KY,Cartersville Airport,Berea,Kentucky,US,37.53689957,-84.40720367
05LA,Greg's Flying Service Airport,Baskin,Louisiana,US,32.2653007507,-91.6977996826
05LS,Grass Roots Airport,Alexandria,Louisiana,US,31.252199173,-92.4757995605
05MD,Breezecroft Airport,Chestertown,Maryland,US,39.2500991821,-76.2052001953
05ME,Drisko Airport,Jonesboro,Maine,US,44.6570014954,-67.5591964722
05NE,Mc Kay Airport,Spalding,Nebraska,US,41.7221984863,-98.3089981079
05OI,Dorlon Airpark,Columbia Station,Ohio,US,41.2883987427,-81.962600708
05OK,Hawk Haven Airport,Crescent,Oklahoma,US,35.8534011841,-97.5674972534
05OR,6 Ranch Airport,Enterprise,Oregon,US,45.4415016174,-117.3509979248
05PS,Mills Brothers Airport,Burnt Cabins,Pennsylvania,US,40.1427993774,-77.8619003296
05TA,Brandes Air Field,Sealy,Texas,US,29.8090991974,-96.2650985718
05TE,Hilde-Griff Field,Georgetown,Texas,US,30.7220993042,-97.7913970947
05TS,Dew Drop Airport,Justin,Texas,US,33.1292991638,-97.3585968018
05TX,Circle 'A' Ranch Airport,Blum,Texas,US,32.1291999817,-97.4041976929
05UT,Oljato Airport,Oljato,Utah,US,37.0332984924,-110.3170013428
05VA,Providence Airport,Farmville,Virginia,US,37.2242012024,-78.4186019897
05WI,Ames Private Airport,Darien,Wisconsin,US,42.6511001587,-88.7459030151
05WN,Flat Creek Field,Kettle Falls,Washington,US,48.702222,-118.0475
05XS,Johnson Memorial Airport,Wilmot,Arkansas,US,33.0792999268,-91.5431976318
06AK,June Lake Airpark,Wasilla,Alaska,US,61.627619,-149.575331
06AR,Bondair Airport,Higden,Arkansas,US,35.5444984436,-92.1848983765
06CO,Jecan Airport,Branson,Colorado,US,37.3875007629,-103.6910018921
06FA,William P Gwinn Airport,Jupiter,Florida,US,26.9083995819,-80.3289031982
06FD,Grass Roots Airpark,Mascotte,Florida,US,28.6417007446,-81.8850021362
06IA,Rich Field,Walford,Iowa,US,41.8414001465,-91.8342971802
06ID,Larkin Airport,Kuna,Idaho,US,43.4626998901,-116.3590011597
06IL,Humm Airport,Earlville,Illinois,US,41.5994987488,-88.8699035645
06IN,Ellis Fly-In Airport,Blackhawk,Indiana,US,39.2827987671,-87.3035964966
06IS,Sinele Strip,Nauvoo,Illinois,US,40.5463981628,-91.2742996216
06MN,Pike Field Airport,Virginia,Minnesota,US,47.6519012451,-92.4167022705
06MO,Noahs Ark Airport,Waldron,Missouri,US,39.2305984497,-94.804397583
06MT,Torgerson Airport,Ethridge,Montana,US,48.5583000183,-112.1090011597
06N7,New York Skyports Seaplane Base,New York,New York,US,40.73399083,-73.97291638
06NC,Tailwinds Airport,St. Pauls,North Carolina,US,34.8274993896,-78.9302978516
06ND,Fitterer's Strip,Glen Ullin,North Dakota,US,46.7489013672,-101.6689987183
06NH,Cole Farm Airport,Kensington,New Hampshire,US,42.9283981323,-70.9730987549
06NY,Murphy Field,Auburn,New York,US,42.8428001404,-76.4452972412
06OH,Hal Joy Airfield,Williamsfield,Ohio,US,41.5097999573,-80.5912017822
06OI,Green Acres Airport,New Lebanon,Ohio,US,39.7347984314,-84.3822021484
06OR,Hayden Mountain Airport,Forest Grove,Oregon,US,45.4650993347,-123.0800018311
06PA,Freefall Oz Airport,Ceres,New York,US,42.0083999634,-78.258102417
06SN,Beyer Farm Airport,Derby,Kansas,US,37.5839004517,-97.2530975342
06TA,Glaser Field,Buckholts,Texas,US,30.9085006714,-97.116897583
06TE,Cavok Airpark,Cleveland,Texas,US,30.3127002716,-95.0269012451
06TN,Hunter STOLport,Columbia,Tennessee,US,35.6972999573,-86.9569015503
06TS,Roscoe Mc Connico Airport,Kerens,Texas,US,32.1207008362,-96.1791000366
06TX,Diamond N Ranch Airport,Hockley,Texas,US,30.0576000214,-95.8128967285
06VA,Mount Horeb Field,Grottoes,Virginia,US,38.2490005493,-78.8553009033
06WI,Young Private Airport,Frederic,Wisconsin,US,45.6627006531,-92.4502029419
06WN,Western Airpark,Yelm,Washington,US,46.9249992371,-122.5530014038
06XS,Campbell Field,Aubrey,Texas,US,33.3246994019,-97.0441970825
07AR,Morrilton Airport,Morrilton,Arkansas,US,35.1944999695,-92.800201416
07CL,Richvale Airport,Richvale,California,US,39.4976997375,-121.7710037231
07CO,Comanche Creek Airport,Kiowa,Colorado,US,39.2635993958,-104.4270019531
07FA,Ocean Reef Club Airport,Key Largo,Florida,US,25.3253993988,-80.2748031616
07FD,Flying G Ranch STOLport,Lee,Florida,US,30.4179992676,-83.2837982178
07GA,Alcovy Airport,Covington,Georgia,US,33.6749992371,-83.7630996704
07ID,Interstate Airport,Malta,Idaho,US,42.2781982422,-113.3050003052
07IN,Gray Airport,Boggstown,Indiana,US,39.5736999512,-85.9139022827
07KS,Heape Field,Augusta,Kansas,US,37.7341995239,-96.9366989136
07KY,Blue Lick Airport,Louisville,Kentucky,US,38.0806007385,-85.6932983398
07MD,Baugher's Orchard Airport,Westminster,Maryland,US,39.6082992554,-77.051902771
07MI,Scott Airstrip,Lake,Michigan,US,43.864200592,-85.0239028931
07MN,Dairyview Airport,Hadley,Minnesota,US,44.0550003052,-95.9095001221
07MO,Lake Sexton Airport,Warrensburg,Missouri,US,38.6500015259,-93.616897583
07MT,Glasgow Industrial Airport,Glasgow,Montana,US,48.4211006165,-106.5279998779
07NC,Hawks Meadow Airport,Waxhaw,North Carolina,US,34.8331985474,-80.7511978149
07OK,Pleasant Valley Airport,Snyder,Oklahoma,US,34.6333999634,-99.0336990356
07OR,Bruce's Airport,Milwaukie,Oregon,US,45.4217987061,-122.6200027466
07PN,Folmar Airport,Grassflat,Pennsylvania,US,40.998889,-78.125278
07SN,Churchill Airport,Phillipsburg,Kansas,US,39.7728004456,-99.3600997925
07TA,Salaika Aviation Airport,Danbury,Texas,US,29.2404994965,-95.3447036743
07TE,Cuddihy Field,Corpus Christi,Texas,US,27.7210998535,-97.512802124
07TN,Corntassel Airport,Vonore,Tennessee,US,35.5685997009,-84.2410964966
07TS,Cross-Country Estates Airport,Georgetown,Texas,US,30.625,-97.5727996826
07UT,E Northrop Grumman Airport,Howell,Utah,US,41.71666666,-112.44722222
07VA,Alpha Hotel Airport,Clover,Virginia,US,36.8195991516,-78.7830963135
07VT,Meadow STOLport,Jericho,Vermont,US,44.4472007751,-72.9147033691
07WI,Bartell Strip,Genessee Depot,Wisconsin,US,42.9653015137,-88.3915023804
08AK,Fisher Airport,Big Lake,Alaska,US,61.569639,-149.724439
08CL,Kistler Ranch Airport,Jamestown,California,US,37.8596000671,-120.5540008545
08CO,Terra Firma Airport,Rush,Colorado,US,38.7324981689,-104.0410003662
08FA,Duda Airstrip,La Belle,Florida,US,26.5797996521,-81.4837036133
08FD,Sunniland Ranch Airport,Okeechobee,Florida,US,27.3631000519,-80.7727966309
08FL,J. H. Hendrie Farms Airport,Lake Placid,Florida,US,27.0844993591,-81.3286972046
08GA,Sapelo Island Airport,Darien,Georgia,US,31.4258003235,-81.2858963013
08ID,Symms Airport,Marsing,Idaho,US,43.5693016052,-116.7770004272
08IL,Harms Airstrip,Tampico,Illinois,US,41.5769996643,-89.7939987183
08IS,Hemmer RLA Restricted Landing Area,Du Quoin,Illinois,US,37.9777984619,-89.2029037476
08KS,Alderson Airport,Bennington,Kansas,US,39.0346984863,-97.5800018311
08KY,Boss Airport,Burnside,Kentucky,US,36.9725990295,-84.6260986328
08LL,Sauer Airport,Dwight,Illinois,US,41.0752983093,-88.4891967773
08LS,Aeleron Airport,Grand Coteau,Louisiana,US,30.4036006927,-92.0235977173
08MA,Wormid Airport,Southborough,Massachusetts,US,42.2939987183,-71.4962005615
08ME,Lindbergh Airport,Avon,Maine,US,44.814201355,-70.3452987671
08MO,Twin Oaks Airport,Jasper,Missouri,US,37.3955993652,-94.2837982178
08MS,Midsouth Airpark,Coldwater,Mississippi,US,34.66220093,-89.86830139
08MT,Matovich Airport,Grass Range,Montana,US,47.0638999939,-108.8170013428
08NC,Whiteheart Farm Airport,Lewisville,North Carolina,US,36.0676002502,-80.4655990601
08ND,Brecht Strip,Golden Valley,North Dakota,US,47.3231010437,-102.0979995728
08NE,Laurel Municipal Airport,Laurel,Nebraska,US,42.4317016602,-97.079498291
08NY,Md1 Airport,Middletown,New York,US,41.3680992126,-74.5055999756
08OH,Kenley Airport,Hartford,Ohio,US,41.2916984558,-80.5636978149
08OK,Parks Airport,Wilburton,Oklahoma,US,34.9314994812,-95.2583007813
08OR,Saxon Sycan Airport,Silver Lake,Oregon,US,42.8392982483,-121.1169967651
08TE,B. J. Mc Combs Sisterdale Airport,Comfort,Texas,US,29.9759998322,-98.743598938
08TS,Puesta Del Sol Airport,La Gloria,Texas,US,26.8878002167,-98.5072021484
08TX,Cross Wind Airport,Weatherford,Texas,US,32.8582000732,-97.7474975586
08VA,Springwood Airstrip,Buchanan,Virginia,US,37.5540008545,-79.7498016357
08XS,Peterson Airport,Old Ocean,Texas,US,29.1081008911,-95.7774963379
09AK,West Beaver Airport,Big Lake,Alaska,US,61.589361,-149.847333
09AZ,Stronghold Airport,St David,Arizona,US,31.9253005981,-110.0380020142
09CL,Alta Sierra Airport,Grass Valley,California,US,39.1138000488,-121.0569992065
09CO,Cottonwood Field,Swink,Colorado,US,38.0555992126,-103.6529998779
09FA,Placid Lakes Airport,Lake Placid,Florida,US,27.2455997467,-81.4131011963
09FD,Cheryl-Lane Landings Airport,Bushnell,Florida,US,28.6711006165,-82.0873031616
09FL,Sunnybreeze Airport,Arcadia,Florida,US,27.0555992126,-81.9705963135
09GA,Sunbelt Strip,Moultrie,Georgia,US,31.1112995148,-83.68409729
09GE,Elliott Field,Dawsonville,Georgia,US,34.4589996338,-84.1812973022
09IA,Skydive Iowa Airport,Brooklyn,Iowa,US,41.7458000183,-92.4093017578
09ID,Taylor Ranch Landing Area Airport,Moscow,Idaho,US,45.1039009094,-114.8550033569
09II,Gibbons Field,Valeene,Indiana,US,38.4472999573,-86.4449996948
09IN,Gordon Airport,Columbia City,Indiana,US,41.1208992004,-85.4250030518
09KS,Coffman Airport,Wellsville,Kansas,US,38.7070007324,-95.1382980347
09LL,Pine Hill Airport,Capron,Illinois,US,42.4681015015,-88.7432022095
09MA,Kallander Field,Southborough,Massachusetts,US,42.3042984009,-71.505897522
09ME,Perrotti Skyranch Airfield,Berwick,Maine,US,43.340801239,-70.8546981812
09MN,W Johnson Field,Hazel Run,Minnesota,US,44.7799987793,-95.6635971069
09MO,Hogue Farm Airport,Willard,Missouri,US,37.3783988953,-93.3632965088
09NC,William Irving Lewis Airport,Broadway,North Carolina,US,35.3292999268,-79.0299987793
09NE,Summer Hill Farm Airport,Bennington,Nebraska,US,41.3333015442,-96.1936035156
09OK,Ragtime Aerodrome,Collinsville,Oklahoma,US,36.3544998169,-95.863899231
09PA,Eagle Field,Port Matilda,Pennsylvania,US,40.8269996643,-77.9880981445
09TA,Lazy G Bar Ranch Airport,Decatur,Texas,US,33.2821006775,-97.4970016479
09TE,Running M Ranch Airport,Glen Rose,Texas,US,32.2667999268,-97.8669967651
09TS,Pitcock Rosillos Mountain Ranch Airport,Marathon,Texas,US,29.4824008942,-103.1650009155
09TX,Smokey Mtn Ranch Airport,Sheffield,Texas,US,30.7390995026,-102.0240020752
09VA,Alum Ridge STOLport,Floyd,Virginia,US,36.9765014648,-80.4938964844
09WI,Parkway Farm Strip,Holmen,Wisconsin,US,44.0036010742,-91.3076019287
0AK0,Scotts Airport,North Pole,Alaska,US,64.3925018311,-146.8619995117
0AK1,Anderson Lake Airport,Wasilla,Alaska,US,61.6169013977,-149.3220062256
0AK2,Yentna Bend Strip,Willow,Alaska,US,61.725556,-150.678611
0AK3,Parker Lake Airport,Montana Creek,Alaska,US,62.035900116,-150.4940032959
0AK5,Young Creek Airport,May Creek,Alaska,US,61.3564987183,-142.733001709
0AK6,Victory Airport,Victory Bible Camp,Alaska,US,61.8033981323,-147.9440002441
0AK7,Bradley Lake Hydroelectri Project Airstrip,Homer,Alaska,US,59.7761001587,-150.9589996338
0AK9,Falcon Lake Strip,Point Mackenzie,Alaska,US,61.3325996399,-150.0590057373
0AL1,Resort Airport,Foley,Alabama,US,30.4438991547,-87.6568984985
0AL5,Flomaton Airport,Flomaton,Alabama,US,31.0321998596,-87.2527999878
0AL9,Wilson Creek Airport,Florence,Alabama,US,34.8499984741,-87.6324996948
0AR1,Hooterville South Airport,Centerville,Arkansas,US,35.0946998596,-93.202003479
0AR2,Mission Field-Marotti Memorial Airport,Crawfordsville,Arkansas,US,35.2667999268,-90.3500976563
